Name,Description, Democrats,, Republicans,, Independents,
,,Importance,Position,Importance,Position,Importance,Position
#BlackLivesMatter,"Some highly visible incidents involving the deaths of black men in police custody, have led to a movement complaining about the mistreatment black Americans suffer at the hands of the police. Called #BlackLivesMatter, its supporters demand justice for black people and reform in the way we train and manage police. Opponents feel that existing laws adequately protect black lives and worry that the movement masks acts of violent civil disobedience.",4,6,4,-4,4,4
A Strong Military,"The United States has the most powerful military in the world, giving it a unique advantage in protecting national interests and determining global policy. Supporters feel that the costs of keeping such a massive military are worth it for such unique benefits. Opponents feel that these significant resources can be better spent elsewhere.",4,2,4,4,4,2
Abortion Rights,"Abortions have been a divisive issue in the United States for decades. Supporters of abortion rights feel that the government should not interfere with what a woman does to her own body. Opponents feel that the unborn fetus also has rights that are being violated during an abortion, and advocate for increased limits, if not outright bans, to be placed on abortions and abortion providers.",4,4,4,-4,4,2
Addressing Climate Change,"Scientists warn that the Earth's temperature is rising as a result of man-made greenhouse gases, and predict this will lead to a variety of unwelcome impacts to the planet's climate. Ending this would require the reduction of activities which produce greenhouse gases. Opponents of such actions doubts the validity of the current science, and worry that the economic and social impacts of the required changes will be too great.",6,4,4,-4,4,1
Alternative Energy,"Fossil fuels have a number of negatives attached to them. First, they pollute the air and in many cases must be imported from hostile regimes.",2,7,2,2,2,4
Bathroom Bill,"Recently, many states have passed so-called ""Bathroom Bills"" that require people to use bathrooms based on their biological birth gender. Supporters say that the laws are necessary to discourage predators. Others feel the laws needlessly discriminate against members of the transgender community who wish to use the bathroom that matches their gender identity.",4,-4,4,4,4,-4
Big Government,"Some things can be efficiently handled by a central government while others are best handled by private enterprise. No-one has ever agreed on which is which. Supporters of a larger government generally approve of regulations, government spending, and higher taxes. Opponents support lower regulations, less spending, and lower taxes.",2,2,2,-4,2,2
Coal Mining,"Coal remains one of the cheapest energy sources within the United States, and new technologies promise to reduce its environmental impact. Supporters of coal mining want this cheap source of energy to continue to be exploited. Opponents doubt the effectiveness of these new technologies to mitigate coal's substantial environmental impacts and would prefer government resources and subsidies be spent on other, cleaner sources of energy.",1,-4,1,4,1,1
Common Core,"The Common Core is a group of national educational standards that set out what students should know at each level of a K-12 education. They are an attempt to resolve differences between the capabilities and skills of high school graduates in different parts of the country, and better prepare them for college and employment. Opponents of Common Core worry they override state and local school districts' abilities to do what's best for their own students.",2,-4,2,-4,2,-4
Confederate Flag Display,"The flag used by the Confederate army during the American Civil War is still flown in many places in the Southern United States. Although locals often view the flag as a symbol of regional pride, opponents consider the flag a symbol of racism and wish for it to be removed from public places.",1,-8,1,1,1,-1
Curbing Russian Might,"Since the collapse of the Soviet Union, Russia's military power has weakened significantly. In recent years however, Russia has begun flexing its strength again, most notably by interfering with a civil war in the Ukraine and sending its military into Syria. Some worry Russia's actions will lead to another Cold War, and desire that the United States take aggressive steps to prevent this. Others feel that diplomacy will work better.",2,-4,2,4,2,-1
Deficit Reduction,"The United States has run a significant deficit at various points during its history, and has built up a substantial amount of debt. Supporters of a balanced budget believe it is time to reduce our budgetary deficit, and reduce our government's total debt load. Opponents feel that the economic stimulating effects of increased spending are still valuable in our current unsettled economy.",2,2,2,4,2,4
Drone Warfare,"Unmanned aircraft have been used with increasing frequency in the past decade, and have been implicated in a number of incidents where civilians have been killed. Supporters of Drone Warfare feel that the benefits of these systems outweigh the costs, and that collateral damage from drone warfare is lower than the various alternatives. Opponents feel that drones are overused, and wish for limits to be placed on their deployment.",1,-1,1,-4,1,1
