,,Default,,Electoral Votes,Voting Pop,Wealth,Gender,,Ethnicity,,,,,Age,,,,Annual income,,,,,,Party,,,Views,,
,,Strategy,,,,,,,,,,,,,,,,(thousands of USD),,,,,,Affiliation,,,,,
,,Dem.,Rep.,,,,Male,Female,White,Black,Hispanic,Asian,Other,18 to 29,30 to 44,45 to 59,60+,<15,15 to 30,30 to 50,50 to 75,75 to 100,100+,Dem.,Rep.,Ind.,Lib.,Mod.,Cons.
Alabama,AL,0,1,9,3333,119319,46,54,73,25,1,1,0,18,28,29,24,10,23,30,21,8,8,34,48,18,0,0,0
Alaska,AK,0,1,3,430,28129,49,51,83,4,3,2,8,21,33,32,14,7,11,19,24,19,20,19,41%,40,18,45,38
Arizona,AZ,0,1,11,3625,153469,49,51,80,4,11,1,4,11,23,34,32,8,13,18,21,14,26,32,41,27,0,0,0
Arkansas,AR,0,1,6,1929,66793,44,56,83,15,1,0,1,16,29,29,26,10,22,29,22,10,9,41,31,29,0,0,0
California,CA,1,0,55,24873,1330025,49,51,68,5,19,6,3,13,22,35,29,6,11,15,20,17,31,45,30,25,25,44,30
Colorado,CO,0,1,9,3067,169341,44,56,86,4,8,1,2,15,31,29,24,9,12,21,22,16,20,29,38,33,22,43,35
Connecticut,CT,1,0,7,2499,161929,48,52,84,8,5,1,2,10,23,39,28,4,7,13,16,18,43,38,26,36,26,53,21
Delaware,DE,1,0,3,582,37247,43,57,76,20,2,1,1,16,32,27,25,5,12,24,22,18,19,41,32,26,21,48,31
Florida,FL,0,1,29,11774,471623,49,51,72,14,11,1,2,10,23,33,34,7,11,20,23,16,24,36,40,24,20,46,34
Georgia,GA,0,1,16,5893,295539,47,53,78,16,4,1,2,16,30,32,22,5,8,18,23,19,27,32,44,24,13,45,42
Hawaii,HI,1,0,4,909,42524,47,53,32,2,9,32,25,10,24,38,28,6,8,19,27,19,22,40,23,37,24,52,24
Idaho,ID,0,1,4,921,36755,46,54,93,1,4,1,2,24,26,29,21,11,24,27,22,7,8,22,50,27,17,44,39
Illinois,IL,1,0,20,8983,466312,47,53,77,10,10,2,1,12,26,33,29,7,11,22,21,16,24,46,31,23,23,52,25
Indiana,IN,0,1,11,4448,189778,48,52,89,7,3,1,1,14,33,30,23,6,14,23,25,15,18,32,46,22,14,43,42
Iowa,IA,0,0,6,2165,89654,46,54,96,1,1,1,1,17,26,29,28,10,16,24,26,11,12,34,36,30,19,45,36
